name,schedulable,makespan,CALAPCalculationTime,schedulerTime
Flexray_0.5,True,0.003276379630136986,0.8495745658874512,55.46269345283508
Flexray_0.51,True,0.0034453906198630225,0.7994832992553711,56.23039627075195
Flexray_0.52,True,0.0035273587263188982,0.8312077522277832,64.30994081497192
Flexray_0.53,True,0.0034723782136084885,0.8436384201049805,65.45499634742737
Flexray_0.54,True,0.003454425089462465,0.8183724880218506,65.79964113235474
Flexray_0.55,True,0.003610898034371174,0.844623327255249,66.70903372764587
Flexray_0.56,True,0.003571302045072809,0.8479218482971191,65.7105164527893
Flexray_0.57,True,0.0038858535821973132,0.838331937789917,64.89929389953613
Flexray_0.58,True,0.003937331818895473,0.8351309299468994,65.86522364616394
Flexray_0.59,True,0.0037054342881044423,0.8448493480682373,64.1500608921051
Flexray_0.6,True,0.0037959445073333614,0.83260178565979,66.17991137504578
Flexray_0.61,True,0.004036477621750712,0.8372011184692383,65.40957522392273
Flexray_0.62,True,0.004125218579913222,0.846982479095459,65.41011667251587
Flexray_0.63,True,0.003951059442683546,0.8768758773803711,65.58647346496582
Flexray_0.64,False,0.004187128468103946,0.8418622016906738,63.37157702445984
Flexray_0.65,True,0.004033985826545867,0.825425386428833,59.87553524971008
Flexray_0.66,False,0.004197617539975242,1.0589699745178223,61.55375266075134
Flexray_0.67,False,0.004198478103149806,0.8024170398712158,56.560014486312866
Flexray_0.68,False,0.00419016594933132,0.8088905811309814,55.14207673072815
Flexray_0.69,False,0.004194560778269788,0.8160707950592041,55.60826754570007
Flexray_0.7,False,0.004199737771006661,0.8185198307037354,47.579283714294434
Flexray_0.71,False,0.004171640182935733,0.8042564392089844,50.56786036491394
Flexray_0.72,False,0.004186170290719813,0.8143877983093262,52.60662031173706
Flexray_0.73,False,0.004187878007235468,0.8100826740264893,48.836838722229004
Flexray_0.74,False,0.004194169991372399,0.8364427089691162,48.48385143280029
Flexray_0.75,False,0.004189099751000368,0.810673713684082,54.56981635093689
Flexray_0.76,False,0.004184186722560973,0.798037052154541,47.61050820350647
Flexray_0.77,False,0.004185995610678385,0.8204052448272705,44.6009087562561
Flexray_0.78,False,0.004194865004168659,0.8204114437103271,43.73476457595825
Flexray_0.79,False,0.004193170197815379,0.80025315284729,45.014737606048584
Flexray_0.8,False,0.004189562988619647,0.8029367923736572,38.158313274383545
Flexray_0.81,False,0.004194088603181262,0.7963128089904785,38.24966359138489
Flexray_0.82,False,0.004200776112975213,0.8044085502624512,41.39700508117676
Flexray_0.83,False,0.004188705612545658,0.8036148548126221,37.72936701774597
Flexray_0.84,False,0.004191388602701202,0.8211503028869629,36.41812181472778
Flexray_0.85,False,0.0042008714463634715,0.7960128784179688,39.65769982337952
Flexray_0.86,False,0.004188675263833063,0.8107967376708984,38.228652000427246
Flexray_0.87,False,0.004199546889872059,0.8022682666778564,38.933953285217285
Flexray_0.88,False,0.004187926506469335,0.8047754764556885,35.14341425895691
Flexray_0.89,False,0.004186201329357228,0.8165082931518555,43.53504705429077
Flexray_0.9,False,0.0041940740440477185,0.8076868057250977,35.484142541885376
Flexray_0.91,False,0.004176421754037214,0.8380186557769775,39.19630408287048
Flexray_0.92,False,0.004193514407237367,0.8346974849700928,35.43193316459656
Flexray_0.93,False,0.004197921576611455,0.8488194942474365,34.537104845047
Flexray_0.94,False,0.004186176964810249,0.8440048694610596,33.63934135437012
Flexray_0.95,False,0.004167826269356636,0.8535110950469971,31.535493850708008
Flexray_0.96,False,0.00419740300289367,0.8364484310150146,37.89046597480774
Flexray_0.97,False,0.004180789986029273,0.7933073043823242,40.898112058639526
Flexray_0.98,False,0.004194257940826399,0.7884640693664551,33.690651655197144
Flexray_0.99,False,0.004171450685891286,0.7881369590759277,34.12369203567505
Flexray_1.0,False,0.004183985480524205,0.8142352104187012,34.29441714286804
NXT Motion (specialized)_0.5,True,4.9872683594219e-05,0.13666367530822754,3.064941167831421
NXT Motion (specialized)_0.51,True,5.1776764978620854e-05,0.13797450065612793,3.1426165103912354
NXT Motion (specialized)_0.52,True,5.155863938721064e-05,0.1342313289642334,2.9825522899627686
NXT Motion (specialized)_0.53,True,5.777834298374698e-05,0.13820838928222656,3.080493211746216
NXT Motion (specialized)_0.54,True,5.508503990302596e-05,0.12373018264770508,3.0081863403320312
NXT Motion (specialized)_0.55,True,5.75933719258177e-05,0.1390092372894287,3.0388715267181396
NXT Motion (specialized)_0.56,True,6.034933365601974e-05,0.13768506050109863,3.082531213760376
NXT Motion (specialized)_0.57,True,6.029089699899003e-05,0.12233519554138184,3.0088298320770264
NXT Motion (specialized)_0.58,True,5.553756068271774e-05,0.13898015022277832,3.080305814743042
NXT Motion (specialized)_0.59,True,6.0291268911076765e-05,0.13806605339050293,3.0572822093963623
NXT Motion (specialized)_0.6,True,5.975190818297144e-05,0.14630556106567383,3.0331978797912598
NXT Motion (specialized)_0.61,True,6.44497149551796e-05,0.12261271476745605,3.1072261333465576
NXT Motion (specialized)_0.62,True,6.66412054760487e-05,0.13744163513183594,3.035323143005371
NXT Motion (specialized)_0.63,True,6.0216933759820944e-05,0.12510919570922852,3.0570764541625977
NXT Motion (specialized)_0.64,True,7.067472440725207e-05,0.18923592567443848,3.069039821624756
NXT Motion (specialized)_0.65,True,6.291422905004521e-05,0.17571401596069336,2.995985269546509
NXT Motion (specialized)_0.66,True,6.751176028890948e-05,0.17190170288085938,3.0608816146850586
NXT Motion (specialized)_0.67,True,6.506562289855846e-05,0.1901867389678955,3.0872390270233154
