name,schedulable,time
NXT Motion_4_5_250,False,1.9596831798553467
NXT Motion_5_2_200,False,2.3557610511779785
NXT Motion_5_2_205,False,2.477013111114502
NXT Motion_5_2_210,False,2.608912467956543
NXT Motion_5_2_215,False,2.3233845233917236
NXT Motion_5_2_220,False,2.4080374240875244
NXT Motion_5_2_225,False,2.358060121536255
NXT Motion_5_2_230,False,2.4880802631378174
NXT Motion_5_2_235,False,2.4242053031921387
NXT Motion_5_2_240,False,2.413095712661743
NXT Motion_5_2_245,False,2.46427059173584
NXT Motion_5_2_250,False,2.646770715713501
NXT Motion_5_3_200,False,2.1631269454956055
NXT Motion_5_3_205,False,2.093831777572632
NXT Motion_5_3_210,False,2.23313570022583
NXT Motion_5_3_215,False,2.1918654441833496
NXT Motion_5_3_220,False,2.2423055171966553
NXT Motion_5_3_225,False,2.0630147457122803
NXT Motion_5_3_230,False,2.0908732414245605
NXT Motion_5_3_235,False,2.217975378036499
NXT Motion_5_3_240,False,2.232637643814087
NXT Motion_5_3_245,False,2.196584701538086
NXT Motion_5_3_250,False,2.0523431301116943
NXT Motion_5_4_200,False,2.157733678817749
NXT Motion_5_4_205,False,1.8721930980682373
NXT Motion_5_4_210,False,1.830500841140747
NXT Motion_5_4_215,False,1.883596420288086
NXT Motion_5_4_220,False,1.968848705291748
NXT Motion_5_4_225,False,2.078885793685913
NXT Motion_5_4_230,False,1.856440782546997
NXT Motion_5_4_235,False,2.0142405033111572
NXT Motion_5_4_240,False,2.0005245208740234
NXT Motion_5_4_245,False,2.064042568206787
NXT Motion_5_4_250,False,1.9399785995483398
NXT Motion_5_5_200,False,1.9572687149047852
NXT Motion_5_5_205,False,1.937546968460083
NXT Motion_5_5_210,False,1.942944049835205
NXT Motion_5_5_215,False,1.6999943256378174
NXT Motion_5_5_220,False,1.7451369762420654
NXT Motion_5_5_225,False,1.7884840965270996
NXT Motion_5_5_230,False,1.7721624374389648
NXT Motion_5_5_235,False,1.8863673210144043
NXT Motion_5_5_240,False,1.8644990921020508
NXT Motion_5_5_245,False,1.8980846405029297
NXT Motion_5_5_250,False,1.7776339054107666
NXT Motion_6_2_200,False,2.4937336444854736
NXT Motion_6_2_205,False,2.45156192779541
NXT Motion_6_2_210,False,2.4180409908294678
