name,schedulable,makespan,dueDatesCalculationTime,schedulerTime
NXT Motion_16_2_225,True,6488.7066675318665,0.6377522945404053,4.712608575820923
NXT Motion_16_2_230,True,6080.225642115729,0.6369099617004395,4.748059272766113
NXT Motion_16_2_235,True,6393.633777980539,0.6636357307434082,4.698687791824341
NXT Motion_16_2_240,True,5957.537781731067,0.570157527923584,4.471667766571045
NXT Motion_16_2_245,True,5650.183020841944,0.5944688320159912,4.798839569091797
NXT Motion_16_2_250,True,6373.097095914712,0.6184523105621338,5.077378511428833
NXT Motion_16_3_200,False,2988.3505315503908,0.643707275390625,2.3909502029418945
NXT Motion_16_3_205,True,4739.703554376347,0.62892746925354,4.0230958461761475
NXT Motion_16_3_210,True,4710.076673374162,0.6280765533447266,4.097623109817505
NXT Motion_16_3_215,True,4754.233685638064,0.6397993564605713,4.138663291931152
NXT Motion_16_3_220,True,4584.977272851382,0.6628644466400146,4.387167930603027
NXT Motion_16_3_225,False,2996.6704258648147,0.6705870628356934,2.0431785583496094
NXT Motion_16_3_230,False,2998.573652154716,0.6386408805847168,2.2175166606903076
NXT Motion_16_3_235,False,2998.6705890431463,0.6552727222442627,2.089832305908203
NXT Motion_16_3_240,False,2998.82151116663,0.5953757762908936,2.284010887145996
NXT Motion_16_3_245,False,2981.272793339455,0.6259005069732666,2.2510311603546143
NXT Motion_16_3_250,True,4416.163744150623,0.6602802276611328,4.447275876998901
NXT Motion_16_4_200,False,2247.05270124238,0.6721510887145996,2.096975088119507
NXT Motion_16_4_205,False,2247.3954749428176,0.6650135517120361,2.0392935276031494
NXT Motion_16_4_210,False,2223.6054133795897,0.6746935844421387,2.0729739665985107
NXT Motion_16_4_215,True,4007.30201560479,0.6544537544250488,4.296452522277832
NXT Motion_16_4_220,False,2244.271272581287,0.6951439380645752,1.8707280158996582
NXT Motion_16_4_225,False,2242.346152337802,0.6960835456848145,1.9003610610961914
NXT Motion_16_4_230,False,2240.1062428308887,0.6121582984924316,2.1339337825775146
NXT Motion_16_4_235,False,2229.6965236587007,0.6375894546508789,1.8043994903564453
NXT Motion_16_4_240,False,2248.010577760649,0.6379570960998535,2.3120014667510986
NXT Motion_16_4_245,False,2241.361247429155,0.6585366725921631,1.800595998764038
NXT Motion_16_4_250,False,2241.208116738368,0.6424980163574219,1.913412094116211
NXT Motion_16_5_200,False,1789.6357212782057,0.6609313488006592,1.8518681526184082
NXT Motion_16_5_205,False,1789.0137742570425,0.6862053871154785,1.7887070178985596
NXT Motion_16_5_210,False,1789.991259509036,0.6815822124481201,1.6300938129425049
